MOVIE_ID,MOVIE_NAME,TITULO_LIMPIO,FORMATO,IDIOMA,CATEGORIA,DESCRIPCION,FAMILIA,NOMBRE_ORIGINAL,DESCRIPCION2,ACTOR_PRINCIPAL,DIRECTOR,DURACION,CATEGORIA_CINEPOLIS,NOMBRE_ORIGINAL_CLEAN,TITULO_LIMPIO_CLEAN,NOMBRE_UNICO
2001,Jurassic World: Renace ESP,JURASSIC WORLD: RENACE ESP,2D,ESP,,,JURASSIC WORLD,Jurassic World: Renace ESP,,,,134 minutos,,JURASSIC WORLD: RENACE,JURASSIC WORLD: RENACE,JURASSIC WORLD RENACE
2016,La Muerte De Un Unicornio Esp,LA MUERTE DE UN UNICORNIO ESP,2D,ESP,,,LA MUERTE DE UN UNICORNIO,La Muerte De Un Unicornio Esp,,,,108 minutos,,LA MUERTE DE UN UNICORNIO,LA MUERTE DE UN UNICORNIO,MUERTE DE UN UNICORNIO
2015,Re Estreno Interestelar Esp,RE ESTRENO INTERESTELAR ESP,2D,ESP,,,RE ESTRENO INTERESTELAR,Re Estreno Interestelar Esp,,,,169 minutos,,RE ESTRENO INTERESTELAR,RE ESTRENO INTERESTELAR,RE ESTRENO INTERESTELAR
2017,Misión: Imposible. La Sentencia Final Sub,MISIÓN: IMPOSIBLE. LA SENTENCIA FINAL SUB,2D,SUB,,,MISIÓN,Misión: Imposible. La Sentencia Final Sub,,,,169 minutos,,MISIÓN: IMPOSIBLE. LA SENTENCIA FINAL,MISIÓN: IMPOSIBLE. LA SENTENCIA FINAL,MISIÓN IMPOSIBLE LA SENTENCIA FINAL
2000,Demon Slayer: Kimetsu no Yaiba IMAX Sub,DEMON SLAYER: KIMETSU NO YAIBA IMAX SUB,2D,SUB,,,DEMON SLAYER,Demon Slayer: Kimetsu no Yaiba IMAX Sub,,,,155 minutos,,DEMON SLAYER: KIMETSU NO YAIBA,DEMON SLAYER: KIMETSU NO YAIBA,DEMON SLAYER KIMETSU NO YAIBA
2001,Jurassic World: Renace SP Sub,JURASSIC WORLD: RENACE SP SUB,2D,SUB,,,JURASSIC WORLD,Jurassic World: Renace SP Sub,,,,134 minutos,,JURASSIC WORLD: RENACE,JURASSIC WORLD: RENACE,JURASSIC WORLD RENACE
344,Memorias De Un Caracol Esp,MEMORIAS DE UN CARACOL ESP,2D,ESP,,,MEMORIAS DE UN CARACOL,Memorias De Un Caracol Esp,,,,95 minutos,,MEMORIAS DE UN CARACOL,MEMORIAS DE UN CARACOL,MEMORIAS DE UN CARACOL
263,Pitufos Esp,PITUFOS ESP,2D,ESP,,,PITUFOS,Pitufos Esp,,,,92 minutos,,PITUFOS,PITUFOS,PITUFOS
290,Lilo y Stitch Esp,LILO Y STITCH ESP,2D,ESP,,,LILO Y STITCH,Lilo y Stitch Esp,,,,108 minutos,,LILO Y STITCH,LILO Y STITCH,LILO Y STITCH
175,Gladiador II Esp,GLADIADOR II ESP,2D,ESP,,,GLADIADOR,Gladiador II Esp,,,,148 minutos,,GLADIADOR II,GLADIADOR II,GLADIADOR II
290,Lilo y Stitch Esp,LILO Y STITCH ESP,2D,ESP,,,LILO Y STITCH,Lilo y Stitch Esp,,,,108 minutos,,LILO Y STITCH,LILO Y STITCH,LILO Y STITCH
2010,La Hora De La Desaparición Sub,LA HORA DE LA DESAPARICIÓN SUB,2D,SUB,,,LA HORA DE LA DESAPARICIÓN,La Hora De La Desaparición Sub,,,,128 minutos,,LA HORA DE LA DESAPARICIÓN,LA HORA DE LA DESAPARICIÓN,HORA DE LA DESAPARICIÓN
290,Lilo y Stitch Esp,LILO Y STITCH ESP,2D,ESP,,,LILO Y STITCH,Lilo y Stitch Esp,,,,108 minutos,,LILO Y STITCH,LILO Y STITCH,LILO Y STITCH
20,Rescate Implacable Esp,RESCATE IMPLACABLE ESP,2D,ESP,,,RESCATE IMPLACABLE,Rescate Implacable Esp,,,,116 minutos,,RESCATE IMPLACABLE,RESCATE IMPLACABLE,RESCATE IMPLACABLE
2018,¿Y Dónde Está El Policía? Sub,¿Y DÓNDE ESTÁ EL POLICÍA? SUB,2D,SUB,,,¿Y DÓNDE ESTÁ EL POLICÍA?,¿Y Dónde Está El Policía? Sub,,,,85 minutos,,¿Y DÓNDE ESTÁ EL POLICÍA?,¿Y DÓNDE ESTÁ EL POLICÍA?,Y DÓNDE ESTÁ EL POLICÍA
2000,Demon Slayer: Kimetsu no Yaiba XE Sub,DEMON SLAYER: KIMETSU NO YAIBA XE SUB,2D,ESP,,,DEMON SLAYER,Demon Slayer: Kimetsu no Yaiba XE Sub,,,,155 minutos,,DEMON SLAYER: KIMETSU NO YAIBA,DEMON SLAYER: KIMETSU NO YAIBA,DEMON SLAYER KIMETSU NO YAIBA
64,Superman Esp,SUPERMAN ESP,2D,ESP,,,SUPERMAN,Superman Esp,,,,129 minutos,,SUPERMAN,SUPERMAN,SUPERMAN
1177,Goya Esp,GOYA ESP,2D,ESP,,,GOYA,Goya Esp,,,,87 minutos,,GOYA,GOYA,GOYA
2000,Demon Slayer: Kimetsu no Yaiba SP Esp,DEMON SLAYER: KIMETSU NO YAIBA SP ESP,2D,ESP,,,DEMON SLAYER,Demon Slayer: Kimetsu no Yaiba SP Esp,,,,155 minutos,,DEMON SLAYER: KIMETSU NO YAIBA,DEMON SLAYER: KIMETSU NO YAIBA,DEMON SLAYER KIMETSU NO YAIBA
2009,Otro Viernes De Locos Esp,OTRO VIERNES DE LOCOS ESP,2D,ESP,,,OTRO VIERNES DE LOCOS,Otro Viernes De Locos Esp,,,,111 minutos,,OTRO VIERNES DE LOCOS,OTRO VIERNES DE LOCOS,OTRO VIERNES DE LOCOS
9,Encerrado Esp,ENCERRADO ESP,2D,ESP,,,ENCERRADO,Encerrado Esp,,,,95 minutos,,ENCERRADO,ENCERRADO,ENCERRADO
19,F1 XE ATMOS Sub,F1 XE ATMOS SUB,2D,ESP,,,F1,F1 XE ATMOS Sub,,,,155 minutos,,F1,F1,F1
